"FSC-A","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
10.204311,393.613129,219.075974,315.152771,464.067322
6.353258,162.646698,0.239314,0.157870,0.189974
9.830847,398.596008,215.882584,310.578674,466.009613
9.635180,404.715698,212.238663,312.057617,450.084381
8.493493,338.302002,194.116272,278.830200,415.224121
11.859638,412.984802,217.469116,310.068970,468.552338
6.860585,162.189102,0.054295,0.300778,0.311584
7.003106,158.469803,0.262177,0.314876,0.347087
6.330029,155.432709,0.187106,0.112391,0.244136
11.314945,366.406128,223.402008,321.596008,466.490540
7.046214,138.458206,0.314886,0.366729,0.088975
6.752106,142.094955,-0.077170,0.326624,0.252223
7.200267,170.338318,0.116956,0.080848,0.250232
7.381354,154.341232,0.169000,0.072782,0.282561
7.700249,155.159714,0.046105,0.047098,0.152550
7.484147,164.262344,0.176110,0.213088,0.129102
11.019799,364.998688,221.114136,319.221863,465.489319
7.285802,159.093491,0.199191,0.141479,0.147196
8.377607,361.776459,199.590363,287.431213,430.466522
6.673116,161.416153,-0.008688,0.306916,0.213159
6.515745,169.193130,0.026086,0.142897,0.166825
6.803322,152.386597,0.084616,0.267797,0.100398
6.994915,166.308029,0.211127,0.199861,0.122775
11.937355,386.568451,219.377228,315.544312,474.606018
6.903728,162.998672,0.288078,0.066301,0.243827
7.200482,170.385376,0.083774,0.078137,0.382850
11.292206,373.101624,228.313477,329.395569,468.913269
9.921624,375.549957,206.458084,296.727570,467.859955
11.346846,371.919342,229.182877,332.637299,481.285919
9.757666,403.733704,216.296860,316.988556,478.468048
6.021267,162.051331,0.113632,0.259111,0.035886
6.563741,160.691040,0.131490,0.134395,0.038011
8.995996,395.572205,192.809036,286.013824,439.510620
7.380748,156.466721,0.091713,0.042552,0.124453
6.883412,160.023651,0.115819,-0.052596,0.243774
9.615339,400.559143,203.032272,295.478912,452.611389
6.441582,160.982010,-0.085108,0.107968,0.113874
10.175837,357.387665,226.440536,332.072723,474.554260
8.625745,377.709717,203.895599,296.133331,427.417480
6.558182,134.335373,0.253404,0.057167,0.043278
6.779085,160.530045,-0.131591,-0.120168,0.045902
7.173904,167.482880,0.071840,-0.020502,0.075997
10.409413,415.727295,221.327728,318.670715,468.732788
7.148483,165.305511,0.176400,-0.059938,0.126632
9.370337,436.076752,213.109482,317.222626,466.901489
11.055623,399.010162,218.771835,312.924469,460.192719
11.139883,379.500671,228.772339,328.102386,474.022339
7.211347,147.610870,-0.017266,-0.040629,0.161468
6.826546,157.080475,0.095243,0.149983,0.259544
6.713584,162.387268,0.098158,0.164128,0.045349
10.252534,408.112457,218.875809,310.724121,454.283203
10.218476,398.650482,214.526230,308.987732,477.191254
10.866310,401.289764,213.943314,313.482513,482.086151
6.540940,164.130676,-0.091192,0.225900,0.284144
6.724748,158.161362,0.090456,0.172381,0.287758
10.409115,421.509186,208.037094,305.592651,456.291199
10.146303,407.656769,217.933167,315.133087,462.408081
6.214814,155.616043,0.022985,0.131478,0.170073
7.175551,150.948532,0.296421,0.100619,0.178466
6.377250,159.074860,0.264922,0.134888,0.164920
9.142339,388.648193,190.958267,278.470184,446.183990
8.858459,362.127716,198.443375,292.430725,448.018127
10.690532,400.981323,201.011475,294.635345,456.924225
10.602351,383.686432,208.092072,303.413605,457.104767
11.026520,417.666260,212.722656,312.135010,477.706482
9.617525,375.840912,208.459381,303.712311,438.362640
6.706649,157.868973,0.267784,0.078950,0.037230
10.488739,383.213531,217.872940,316.584412,475.122894
9.612986,363.712158,198.999954,289.423859,431.084198
9.687795,404.141937,213.710739,315.094849,450.473877
8.798800,363.189301,202.153809,295.546509,428.727478
7.244370,156.252426,0.231903,0.112573,0.067691
20.045290,269.467316,0.230992,0.184608,-0.094463
6.380508,145.189743,0.140508,-0.023021,-0.027197
7.504398,167.965195,0.057182,-0.111580,0.178931
10.847452,381.405640,224.960724,325.390869,474.653107
6.881340,160.040482,0.112630,0.157067,0.256315
7.464916,155.556351,-0.091468,0.011786,-0.002200
11.875530,388.786499,224.988800,322.692047,471.933319
10.587668,381.886536,222.140823,317.131470,464.829529
6.578144,164.865173,-0.033393,-0.110812,0.139302
11.639807,385.124390,224.366745,332.724976,479.733887
6.566313,160.060532,-0.084701,0.295227,0.336385
10.352911,375.469849,228.015259,328.663208,466.300018
6.588277,166.565842,-0.108956,0.168223,0.134868
24.131708,1183.845337,212.968491,310.925537,466.531708
9.629911,388.461700,205.583557,290.370819,459.052643
7.390243,161.830978,0.142045,-0.001634,0.012238
11.482106,380.120117,219.115570,318.657135,470.103180
10.392105,385.741516,205.216583,300.103333,449.348480
8.817495,368.843231,199.055542,288.460693,427.676788
