"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
6.948412,4.761497,2.550128,-0.429664,0.246710,0.673726
5.111760,3.611108,2.097508,3.843385,0.376846,1.285174
43.421284,27.561625,14.511067,31.402956,0.449949,17.100027
13.723365,9.245880,11.396744,12.825974,0.324678,2.999536
14.324686,9.644907,5.348065,7.569764,0.154586,3.594864
20.368458,13.616580,5.345936,10.209611,0.408552,2.289303
4.996127,3.724827,2.647702,-0.319359,0.270804,3.539156
14.421618,9.586782,5.005976,4.579585,0.139438,1.688444
4.787359,3.558513,2.445317,4.676428,0.268922,1.531005
8.666633,6.314741,3.459918,2.268123,0.293640,2.228434
12.261918,8.725398,5.143350,5.181753,0.178420,0.828006
6.661512,4.347772,3.208683,1.141744,0.142940,0.321517
10.454199,6.852373,9.658692,39.810604,1.567051,192.620102
8.047953,5.741108,3.911092,3.134427,0.048054,0.927705
16.408087,11.149083,5.150550,8.935740,0.250528,3.853611
16.670918,10.942817,5.099188,8.283039,0.005914,1.929030
12.427426,8.499960,4.589188,7.227677,0.395737,2.263546
16.417215,11.172226,5.373582,5.460894,0.277966,1.004826
12.849017,7.588226,4.731392,5.552791,0.054056,1.408030
15.681746,10.051429,7.854745,4.488273,0.150158,2.745027
12.648268,8.722066,14.853691,14.348770,0.318294,3.017747
11.641328,7.778837,3.878742,7.556894,-0.005353,10.750175
7.296742,5.157746,2.755714,2.223058,0.183340,1.317508
7.487570,5.130758,4.233430,4.645441,0.062764,0.612714
8.724145,5.914776,3.594288,3.402250,-0.069558,2.033687
13.605121,9.241184,9.718310,8.251844,0.007129,1.805303
20.558519,13.475407,6.890862,17.760283,0.201421,22.647078
9.392152,6.316181,3.490442,3.762863,0.353724,0.945987
18.634130,11.759605,19.468876,47.909576,0.843217,92.420792
10.210457,7.152971,4.514446,6.055508,0.283858,1.225754
6.805955,4.572197,2.834548,3.268918,0.192092,1.480846
19.756922,13.303388,5.424072,5.183775,0.204659,1.470761
8.266117,5.587536,3.318991,0.994930,0.255092,0.807916
7.603798,5.311491,2.761251,3.835077,0.212966,0.620192
10.064350,7.325999,4.120188,8.730923,0.234164,7.820592
10.293338,6.895929,6.308307,11.260850,0.178490,1.063175
6.222462,4.576160,2.499752,2.262070,0.050888,1.263358
60.797329,34.083862,99.482193,91.849686,0.356016,17.266668
41.196251,14.266076,28.097845,39.661114,0.329711,7.486064
55.826279,32.151066,55.613342,50.581882,0.393936,8.922509
9.383109,6.403383,3.201565,16.149879,0.103938,14.980641
8.627512,6.071521,3.917139,6.175274,0.129512,0.122067
20.425920,13.820986,8.650907,12.278412,0.087592,4.799653
6.473238,4.603059,3.575196,1.257513,0.134635,1.856440
22.695545,15.642690,6.732211,8.168447,0.232664,3.123475
33.718605,20.832056,11.688939,22.264091,0.400864,32.566772
7.844346,5.431403,4.066484,-0.149923,0.198695,0.314055
