"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
33.476242,21.349922,8.576939,6.153642,3.076400,309.073456
14.955393,10.373960,6.889541,13.421949,0.118941,25.882538
13.335814,9.052073,4.363556,3.161046,1.220089,125.029594
14.011720,9.622499,3.345185,6.609619,-0.038540,8.460756
31.627827,20.147676,6.921452,7.220749,2.394829,288.752563
26.801613,17.627827,7.434090,8.331371,5.856661,757.452087
18.363689,12.215446,3.021960,24.498466,0.195599,12.010739
22.783003,14.906628,5.288217,8.710735,1.358645,218.276001
39.286926,22.733000,14.670454,41.402786,8.123755,952.411133
42.393902,25.420710,13.141598,46.285259,0.790005,102.978889
22.977541,14.876962,7.408528,13.409835,0.134227,17.955889
56.174694,33.776440,13.454639,28.548990,0.368907,40.464844
14.432123,9.670803,5.283958,12.880170,0.143042,3.732315
37.430691,22.774935,13.271952,18.573734,14.611168,1832.814087
18.936749,12.300224,10.644643,22.228041,0.047443,27.809519
11.349241,7.873580,6.328642,6.898481,3.961569,481.543121
11.790307,8.255970,4.444884,4.645669,0.153464,7.761631
9.096336,5.698352,5.931669,10.990453,0.270158,13.552056
8.226042,5.743263,3.171062,6.342224,0.239331,4.906507
45.469082,28.654694,15.852107,37.962055,0.773626,83.436096
38.300976,22.567009,23.045248,19.927387,5.786082,736.896973
12.029876,8.393407,4.392514,12.174128,0.083393,13.645415
27.073166,17.356262,5.940669,15.179716,4.998805,590.252991
54.263966,32.378414,11.786137,11.066337,3.733141,547.961121
25.070484,15.754249,11.045436,10.495472,6.533061,800.257324
7.189049,4.950082,2.855523,4.134341,0.230008,3.515645
25.311842,16.704266,6.223824,9.099924,0.171228,20.832380
29.982208,19.285692,12.379660,12.382102,15.618671,1827.837402
14.715548,9.429924,8.652116,25.869139,2.174202,293.093353
32.177467,19.995777,9.008938,42.480648,0.494042,29.039413
32.322510,20.689417,6.779310,24.591187,4.096916,496.262817
25.728441,16.349695,10.216077,15.122722,2.729815,351.989594
20.610533,13.388588,4.976835,5.446771,2.488003,356.970032
12.750213,7.874856,11.365879,56.055653,19.850527,2821.694336
40.188038,23.434042,23.081314,31.846012,11.908272,1505.546143
18.780863,11.890509,11.930063,14.706897,7.740703,1027.462280
52.127060,30.302975,12.588891,25.100470,0.556947,61.492702
14.961383,9.548475,19.598082,17.902706,15.229424,1650.390503
48.205582,28.991503,15.605396,26.964357,0.814038,91.264313
21.344185,14.438238,10.296440,11.480988,7.789454,943.015076
28.505369,18.392643,8.219000,27.382032,0.385863,38.710800
37.315907,23.981701,8.591790,11.813700,6.977454,843.216431
21.939856,14.527122,4.365972,13.084940,0.089432,8.405808
14.762902,9.592553,4.256505,10.218817,0.584167,62.039711
28.865931,18.864115,12.952586,22.672943,0.485694,19.983271
40.432011,23.345001,31.928656,70.919037,16.203022,2384.990967
21.731045,14.130991,8.107577,21.263462,4.379337,609.416565
24.300404,14.715213,16.719988,24.430555,3.831385,472.504547
32.591248,19.655003,18.732941,37.660568,13.464206,1505.181641
21.263206,13.706655,17.245056,41.130943,0.872210,84.556366
23.339001,15.551921,6.034113,4.483922,1.873872,203.751694
19.390125,13.272749,8.635791,11.100590,4.754508,581.085754
32.486423,21.085016,21.035564,8.563128,7.091763,954.611511
14.954347,9.840937,2.500932,12.840122,4.123811,512.575439
19.747892,13.352616,8.414766,18.031435,4.699752,550.854919
9.327622,6.076801,4.354329,5.942074,1.467130,145.288712
31.878511,21.525061,16.381622,11.455075,7.516684,955.881226
27.987776,17.229439,5.899876,33.297791,0.667196,36.127171
32.859253,20.706991,8.006407,8.010510,3.907041,448.491791
15.530739,10.622910,3.350416,7.243573,0.481712,13.463156
22.664587,15.187103,5.818039,3.784066,2.309564,263.139557
22.609121,14.934241,5.631408,14.496067,0.425395,37.909473
40.729519,24.347065,8.669810,22.042276,0.922384,75.968903
23.851812,15.347196,5.573053,9.376306,0.212692,4.401267
23.103170,15.045442,10.126328,30.626606,3.445827,352.299622
12.177311,8.090963,8.429891,10.599997,0.330852,14.943022
24.666403,14.551251,16.155071,12.039288,4.621546,513.086670
26.444715,17.480930,10.468954,6.685807,3.839673,448.702423
4.966561,3.526677,1.958056,2.948731,0.112058,2.409643
11.486807,7.872577,2.332305,7.434422,0.314404,16.936647
28.456850,17.496910,14.192918,50.458790,0.475044,46.394215
19.396915,12.920794,5.229346,3.845005,1.059524,102.930649
32.113396,20.807549,8.911194,8.002922,6.619830,826.671875
37.636559,24.106611,11.700889,23.961588,9.523789,1114.599854
22.814322,15.017467,7.372471,8.255643,4.660932,548.690491
23.410227,15.412810,8.716365,16.833675,4.810514,507.942017
16.734364,11.354320,3.684099,17.655087,0.312803,28.252539
13.660514,8.757502,4.892806,9.884356,0.385811,14.857918
41.288284,25.785877,11.779147,7.762609,3.003422,315.245636
