"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
9.608581,6.695998,9.708961,10.645768,0.171686,21.313425
81.553192,43.470360,77.414856,265.634796,1.957688,118.765701
42.992214,13.923983,14.840608,26.276196,0.112454,32.960274
34.538826,12.701939,12.520521,19.216621,0.118958,27.176357
20.046515,12.679981,5.911489,13.790869,0.106167,20.438787
9.828712,7.133493,2.215538,7.572227,-0.040119,7.262921
21.572086,14.589688,6.694192,33.039257,0.059451,14.149236
16.288244,10.726591,4.963581,8.111964,-0.095786,3.392985
12.076159,7.969810,6.245867,24.832289,0.270451,53.464500
11.832672,8.318455,4.321196,8.645470,0.128061,5.283099
6.902382,4.838389,1.960559,4.962964,-0.064383,0.591674
15.630912,10.751467,10.272515,22.372375,0.246355,23.435698
30.596773,19.571154,16.698797,31.639811,0.279534,24.475897
10.451607,7.455010,3.148749,7.629791,0.037580,5.132529
22.022120,15.009121,5.198845,13.315597,-0.045665,3.997413
17.935572,11.877995,4.523201,15.786767,0.055513,9.480188
18.333248,12.923139,4.539005,11.649040,-0.194685,5.051335
31.576258,20.233910,10.307847,15.322658,0.112426,22.527384
8.423043,5.728325,1.939480,8.755836,-0.077984,1.981682
9.643743,6.534854,3.096327,7.724277,0.166084,1.950079
23.053764,15.117821,6.303401,5.304112,0.121642,5.245235
11.757820,7.957866,3.055456,9.660722,-0.043924,4.399556
7.525841,5.281210,2.811121,21.112556,0.250217,11.919067
14.574807,10.359214,2.903686,9.980488,0.213453,11.163554
40.346935,25.694220,13.113234,38.625385,0.273302,12.339084
8.878118,6.031940,1.792246,6.383844,0.006027,3.108091
40.162792,24.915567,10.963926,25.934467,0.186485,14.468046
30.295637,14.806271,7.287701,20.817879,0.362991,39.993816
35.406704,15.294103,7.595309,20.146961,0.264427,43.124062
13.807445,9.263676,4.239570,13.496657,-0.041138,10.713452
26.150642,16.879845,6.143957,22.807734,0.144471,32.965843
20.124056,11.558098,5.842329,19.875177,-0.001032,14.617921
43.485352,25.171638,19.717978,43.942963,0.294672,37.576405
24.972414,16.613319,20.076418,25.865480,0.417861,24.841566
10.612341,7.146707,3.600640,8.970346,-0.056353,1.562726
13.554399,9.710961,3.836898,5.048815,-0.031869,3.341946
10.057446,7.009830,6.613602,11.073573,-0.003673,7.606084
16.032694,9.203927,23.432549,37.127106,-0.069158,17.181883
29.017467,17.301449,11.257577,29.976360,0.326262,54.255157
11.698694,8.014475,1.961494,11.038063,-0.059581,2.468678
24.299122,16.122744,6.605127,20.290287,0.440443,19.766071
34.523170,22.528048,11.039273,36.887650,-0.200256,7.036554
13.361502,7.984271,9.678874,16.373684,-0.004573,7.461586
24.611912,13.832877,6.796629,21.283770,0.102662,13.754577
13.131860,8.742077,3.715438,12.822330,-0.078303,3.134530
4.857368,3.659513,3.439383,4.524673,0.062942,3.948381
21.032701,13.244197,12.555381,29.347597,0.353916,18.047491
5.977230,4.104257,2.053930,7.841399,0.077035,7.115533
23.017658,15.496412,5.347679,19.143133,0.132990,10.382982
20.787580,14.248440,4.418930,13.684589,0.264575,10.133034
33.841896,21.065950,8.703744,21.842825,0.230771,19.683321
23.962490,16.298027,10.058425,29.114975,0.261913,8.172907
9.604886,6.713912,5.642338,20.111761,0.072065,7.529480
27.968483,12.833607,7.418866,33.086422,0.400104,20.426641
8.924760,6.369739,2.550194,2.909952,0.155774,1.639538
19.936096,13.647315,7.510501,16.856327,0.260778,11.657923
12.898262,9.062408,9.689673,13.272812,-0.005615,11.764488
16.167686,6.545281,7.875080,23.674185,0.275105,11.527646
21.352165,10.102391,8.467441,25.330580,0.297863,10.955628
15.005662,10.154114,4.296400,4.647370,0.093715,8.835505
18.533287,12.541988,6.767542,22.675949,0.267414,6.725693
12.702724,8.796241,6.176970,13.147918,0.071625,3.444370
9.970009,7.116830,3.148631,7.307210,0.240732,3.483803
