"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
43.147995,22.109245,37.807922,49.196949,0.203615,11.486254
4.359004,3.113866,1.804577,9.338382,0.247820,1.263656
28.467218,16.867981,23.591537,33.855553,0.308184,7.572656
25.739475,10.405758,9.948845,13.125047,0.260265,3.825655
41.892071,23.383644,30.662277,45.520908,0.543459,11.710258
59.155090,18.011606,74.066658,97.454430,0.591032,25.858252
47.116276,17.924969,61.378319,77.794518,0.460763,23.404398
27.801767,10.771287,42.355396,50.441612,0.287292,19.689775
28.584599,10.742180,42.759972,48.800858,0.419124,19.384178
7.856587,4.340261,5.241417,18.134159,0.275997,2.734385
77.332581,24.046350,303.905853,340.185516,2.145604,101.456902
28.023270,8.842371,29.647045,52.337898,0.524350,19.257893
39.898521,20.224525,58.444168,65.569885,0.361177,18.629078
44.405964,25.300394,115.412354,101.930153,0.951514,28.961538
8.153392,5.459188,6.559986,3.757194,0.187851,0.028150
7.099404,4.810430,3.229737,5.309021,0.106199,0.892200
28.764145,17.394039,26.672411,29.644714,0.442563,10.922400
65.283157,30.849743,173.458755,197.900589,3.219759,62.233749
7.084564,5.096240,2.451246,3.615319,0.049095,0.325210
19.642723,13.278570,5.427975,-0.739562,0.060449,1.400822
18.418139,11.556706,28.972532,18.674900,0.435906,20.931234
28.744261,19.098888,7.576632,6.972450,0.185252,0.856429
13.353912,7.843772,9.112905,5.822711,0.053687,2.267952
10.709423,7.090112,4.957107,11.459455,0.391144,2.950890
5.367184,3.605326,2.450713,2.338818,0.285522,0.483798
12.894082,8.574493,18.131096,17.006929,0.417614,4.236413
7.175692,4.975718,2.667193,1.658899,0.011606,2.372712
10.688717,7.574099,3.608731,2.578390,0.322764,1.567254
18.178873,12.056127,8.888775,8.108332,0.299400,6.612324
31.686440,19.047230,22.163565,32.422882,0.554079,16.993057
44.614407,25.897381,35.137672,28.792213,0.712160,10.358023
6.114442,4.270063,2.852254,4.273120,0.100617,0.705698
11.832978,7.748836,9.404151,12.088216,0.271357,2.933385
5.181670,3.462762,2.350803,-3.251313,0.371707,-0.296871
7.208556,5.112871,4.232605,1.387104,0.251636,1.125860
18.135185,11.783588,13.676620,12.740534,0.169587,3.133170
10.116972,6.479894,2.791382,0.342749,0.164740,1.894571
27.229984,16.649605,31.050039,26.908552,0.349066,8.059183
13.306753,9.293417,5.876007,4.642761,0.367141,0.565659
17.546757,11.874130,6.117077,-0.207473,0.313711,1.151380
38.220802,23.915131,26.049696,24.371511,0.432953,6.067890
8.868753,6.114661,3.965692,3.927899,0.150158,2.319662
28.054352,18.396137,11.386428,9.497579,0.318294,1.913227
7.673635,5.093290,9.519299,8.174369,0.237713,2.480048
13.001640,7.904328,4.378536,0.439384,0.061807,2.021684
27.783567,16.849508,26.409613,36.337234,0.184297,6.435451
7.530262,5.151837,3.101008,2.933991,0.244998,-0.357652
7.921669,5.609593,2.662252,1.587221,0.164406,1.530067
29.473316,19.517887,9.457352,5.724264,0.244315,1.465976
10.142796,6.987567,3.018608,-2.081440,0.146403,0.534920
14.737929,10.447350,5.628421,2.351392,0.156913,2.174706
11.247061,7.488664,11.284545,10.821855,0.462583,7.143562
7.306386,4.724785,3.256339,-0.001747,0.277880,0.576498
4.579607,2.988446,2.128385,0.192836,0.075977,0.416284
16.458866,10.439831,11.104246,16.632347,0.233645,6.663082
36.635868,24.293425,26.982046,26.039228,0.334499,6.637248
7.261944,5.311839,4.792193,0.789816,0.066162,0.790955
26.800365,14.128595,11.984609,9.176867,0.382237,5.530255
64.765579,25.419666,32.253868,25.285385,0.597786,6.862456
15.408360,10.707396,5.430017,3.782432,0.109376,-0.122147
7.281416,5.019251,4.806421,6.954810,0.233200,1.708350
16.528255,11.307558,5.391654,8.308132,0.433256,1.636624
7.124027,4.877504,4.245318,3.896375,0.150406,0.116423
14.554029,9.855701,6.397840,4.200475,0.175981,1.312374
9.123361,6.191592,3.968315,2.417180,0.198402,1.553805
10.240759,7.074983,5.198018,5.790085,0.095315,1.566905
12.129331,8.471059,4.944963,2.323704,0.050365,1.425588
38.794392,25.287622,31.856255,17.517969,0.297204,8.234391
19.590143,13.243902,5.439092,3.356659,0.023544,2.644628
11.640789,7.873339,4.914467,2.915560,0.221248,1.300225
13.074644,9.032063,4.901900,2.085231,0.353388,3.716149
39.246925,22.068382,109.795906,188.559357,1.501771,73.888901
15.729619,9.650245,8.337669,11.454276,0.437552,7.747302
37.965076,20.875116,131.534836,126.910477,1.156116,25.798641
84.013550,35.615528,129.659546,154.174728,1.323951,39.086887
