"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
12.780127,8.598735,3.194861,6.623450,-0.001030,6.443566
5.531271,3.816366,2.664567,4.631199,0.150131,8.654429
9.413233,6.178306,3.872375,11.703024,0.320688,23.948639
12.451556,8.238164,3.994690,7.611675,0.294749,5.176627
26.343113,17.231892,10.331720,32.353321,0.363477,48.915916
16.828472,10.846963,5.033835,13.999228,0.079250,8.326164
9.542105,6.444454,5.067937,13.757986,0.191415,8.132983
42.984642,26.158361,23.419609,55.616787,1.837206,239.947281
16.745682,11.033695,5.301196,12.988827,0.337759,34.086796
24.156071,16.025352,4.946500,25.127497,0.408984,33.238632
20.860401,13.297600,3.829887,11.311713,0.191991,10.128437
29.301748,18.579842,14.681513,27.902973,0.201735,16.929726
28.389635,18.719032,9.706801,20.452852,0.446457,19.106474
6.108474,3.850809,2.095776,4.046858,0.058031,7.567452
20.975056,14.013940,5.541933,13.202981,0.132557,23.242260
13.596198,8.993472,8.511661,16.988983,0.325180,13.748748
20.736734,12.835519,6.543050,21.115211,0.538506,30.729336
12.503287,8.451353,3.354363,5.428070,0.176133,9.806037
33.867729,21.869457,18.257627,38.242310,0.648169,53.546700
19.759512,11.819765,20.599283,53.509792,1.834497,233.049072
36.003014,22.497530,11.185826,34.671200,0.343067,35.515556
20.024364,12.836566,7.773667,23.011465,0.309983,24.007967
29.644804,18.868279,10.167380,25.545883,0.238493,19.295284
67.378433,35.811169,28.154278,73.353691,0.622298,71.388023
12.642623,7.962492,13.165590,36.038879,0.570520,72.068344
21.111341,13.824031,5.388513,12.244595,0.218086,17.088423
8.608060,5.538583,2.922533,7.296766,0.177121,5.218983
25.283890,16.869703,5.458488,17.841511,0.175884,9.176056
6.561079,4.391263,1.412777,6.999155,0.314618,4.648611
6.639969,4.494906,2.795100,5.156545,0.195026,4.885948
6.840648,4.335136,2.898707,6.795681,0.269062,24.035704
46.021866,29.693647,12.759163,43.271782,0.568921,40.726276
51.688850,29.282581,16.272898,27.449852,0.625298,38.175121
30.915068,19.339708,9.316718,30.053232,0.237988,9.250772
9.763076,6.597755,2.945868,12.619782,0.314395,11.861435
57.665268,32.591461,37.867439,100.157631,6.585940,759.560181
10.291214,6.819940,3.310447,8.033415,0.228637,5.520312
10.521438,6.928563,7.162749,22.196644,0.494461,22.083450
38.597343,23.063049,9.218482,23.328505,0.361802,51.181026
40.108955,23.833490,17.651888,30.113636,0.692779,39.161236
11.737609,7.819679,3.256606,4.686109,0.311117,4.049912
13.408675,8.917367,3.112886,9.918471,0.408733,13.872091
19.413921,12.523355,5.094282,24.001261,0.178377,35.940605
30.532682,17.912401,7.296724,30.271851,0.440995,26.387915
5.486195,3.631585,2.604066,5.408395,0.272569,6.138256
26.815722,16.974537,8.880256,15.178061,0.536936,35.462383
22.699963,13.609338,19.747587,34.373257,0.404824,27.568661
31.876579,20.713709,7.678184,24.810507,0.399243,20.115366
18.937670,12.717201,10.531604,26.423542,0.257517,20.636822
59.933582,31.342875,31.997879,65.409050,0.583340,64.058762
30.915791,18.673300,5.130187,18.119778,0.706153,26.337166
22.584127,11.707403,6.096484,17.940809,0.395733,11.967298
49.925171,30.241940,15.098189,36.446823,0.539074,38.802929
38.095531,22.854137,10.583200,32.976994,1.450621,170.059875
6.183791,4.302783,2.429799,7.490004,0.674632,43.241863
8.604675,5.954351,3.033061,12.651277,0.128364,15.348767
14.207380,9.420476,3.700835,17.298754,0.317948,14.008673
14.953850,9.546888,3.029871,17.887400,0.331806,17.668814
9.207495,4.822532,2.721703,6.459359,0.171645,11.103133
9.730010,6.601830,3.277093,11.758911,0.659231,64.815147
12.630562,8.610209,2.779567,6.181446,0.060328,5.087449
10.592105,7.536896,3.018121,18.352343,0.542722,33.740139
29.980986,19.044321,16.143047,40.604664,0.451270,34.853077
33.872906,18.560429,30.917891,97.777580,1.691797,169.882462
26.493155,16.999973,5.929091,25.535971,0.488848,18.070236
26.153120,16.544788,6.921907,16.346411,0.350333,10.907276
6.760482,4.779216,10.337809,32.540367,1.030290,88.475868
13.527949,9.305464,4.696694,13.629768,0.104191,21.125156
14.571044,9.579890,5.057562,12.239665,0.224889,9.619320
30.689283,19.576042,13.567576,43.347221,0.739881,63.782589
28.076471,13.596757,10.237761,22.044010,0.698448,31.398621
17.513222,11.631001,5.562510,13.340802,0.123118,9.066402
12.297415,8.005773,11.034174,37.006340,0.861767,77.899269
14.011492,9.264350,13.213297,63.975216,0.660047,65.601982
29.413437,18.570761,12.567466,25.597761,0.771059,31.883850
30.286266,17.977646,19.371313,44.385548,0.546053,38.090256
26.475000,16.712982,7.083412,20.509716,0.329293,32.542049
20.514465,13.133704,10.900217,20.774097,0.425395,30.559135
28.662016,17.877338,9.985226,22.197142,0.336166,11.125554
38.957638,18.032743,16.704039,32.227173,0.455758,37.607105
28.078871,17.883577,6.437447,20.229210,-0.034704,17.728487
34.853924,20.664206,23.542866,31.141113,1.045751,120.233772
16.516550,10.706037,5.624603,15.558184,0.656065,56.534927
6.813576,4.816136,2.819530,4.467377,0.125087,4.066861
32.290020,15.794743,51.786549,136.963760,1.205855,130.144989
13.159672,9.154315,6.442977,12.610386,0.578917,10.005009
5.651557,3.916588,1.317578,12.525053,0.403554,13.051108
24.036612,9.869036,25.425257,65.872337,0.544796,59.946320
22.297827,9.851738,21.743641,45.594379,0.653202,47.532356
7.896740,5.155195,2.728900,6.316618,0.351213,6.175042
11.268696,7.296520,4.570065,11.763700,0.165729,11.480602
62.186375,28.352262,22.535370,55.214451,0.716970,53.014233
22.846752,14.589183,6.765316,19.262035,0.884722,94.512772
20.709423,13.335138,14.758419,35.454231,1.701226,175.028793
37.277695,23.222401,17.212383,41.931515,0.472678,32.649319
33.466724,19.618528,13.951619,33.489746,0.506145,63.776157
15.359780,10.268273,3.955690,13.665952,0.208179,17.089106
31.362421,19.760927,21.083698,61.281448,0.494022,20.891273
11.263295,7.776674,7.090618,17.628469,0.182577,6.873951
4.838544,3.691151,2.294317,1.483857,-0.042064,3.396306
19.189146,12.295107,6.935148,24.137791,0.316360,22.738720
10.112076,6.586701,3.003276,9.065156,0.227572,6.920500
33.962360,21.196888,20.687050,51.996101,0.983308,96.737823
12.836390,8.258814,9.279729,16.288656,0.522397,86.583458
11.311607,7.476080,4.488276,14.072341,0.813508,76.971825
7.401435,5.065721,3.077176,7.090738,0.203375,23.294893
26.257391,17.119221,7.303963,36.637157,0.407006,30.292576
7.469644,4.886985,2.367962,11.589131,0.104143,3.989998
26.789116,16.516701,17.138083,56.439308,0.769980,58.982304
17.933594,11.384150,4.525786,17.381140,0.394748,9.161312
10.235926,6.837455,2.743436,9.066998,0.405306,4.960527
30.155445,19.654917,13.734572,50.800835,0.731457,62.806068
8.846602,5.725451,2.198068,11.400718,0.433141,21.543440
31.174276,16.217157,10.968286,28.554193,0.429747,26.259098
28.523884,16.893833,8.512339,18.333063,0.244179,15.799001
5.317329,3.965914,1.673013,7.044249,0.286393,14.849216
10.331777,7.106241,3.119357,14.555329,0.408483,18.535625
46.730865,29.596836,17.203651,27.768637,0.819902,49.398663
20.702330,11.011527,9.437895,20.531471,0.169022,17.935419
32.164188,19.946043,17.633165,42.844891,0.501553,47.593914
17.683779,11.881599,16.004566,20.273348,0.195896,26.195852
16.223465,10.584785,5.170991,12.757322,0.534424,19.481377
34.665077,22.647076,12.101598,34.065697,0.413078,36.526669
